Date : 2023-09-26 19:15:27
Directory : c:\Users\markk\Documents\Dev\ReciPantry
Total : 86 files,  31725 codes, 250 comments, 399 blanks, all 32374 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\package.json                             | JSON               |         35 |          0 |          1 |         36 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\readme.md                                | Markdown           |        119 |          0 |         38 |        157 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\SocketProvider.js                    | JavaScript         |         46 |         20 |          8 |         74 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\Startup.js                           | JavaScript         |         77 |          5 |          7 |         89 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\controllers\AccountController.js     | JavaScript         |         39 |          0 |          5 |         44 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\controllers\FavoritesController.js   | JavaScript         |         30 |          2 |          4 |         36 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\controllers\ProfilesController.js    | JavaScript         |         26 |          0 |          4 |         30 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\controllers\RecipesController.js     | JavaScript         |         70 |          5 |          3 |         78 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\controllers\ReviewController.js      | JavaScript         |         42 |          0 |          4 |         46 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\controllers\ValuesController.js      | JavaScript         |         36 |         15 |          9 |         60 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\db\DbConfig.js                       | JavaScript         |         28 |          0 |          4 |         32 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\db\DbContext.js                      | JavaScript         |         14 |          0 |          3 |         17 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\handlers\AuthHandler.js              | JavaScript         |         32 |          4 |          4 |         40 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\handlers\TestHandler.js              | JavaScript         |         11 |          4 |          3 |         18 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\main.js                              | JavaScript         |         19 |          5 |          7 |         31 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\models\Account.js                    | JavaScript         |         11 |          1 |          3 |         15 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\models\Favorite.js                   | JavaScript         |         18 |          0 |          4 |         22 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\models\Recipe.js                     | JavaScript         |         29 |          1 |          1 |         31 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\models\Review.js                     | JavaScript         |         19 |          0 |          4 |         23 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\models\Value.js                      | JavaScript         |         16 |          0 |          3 |         19 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\services\AccountService.js           | JavaScript         |         47 |         29 |          6 |         82 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\services\FavoritesService.js         | JavaScript         |         25 |          4 |          8 |         37 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\services\ProfileService.js           | JavaScript         |         19 |         10 |          5 |         34 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\services\RecipesService.js           | JavaScript         |         56 |          5 |          3 |         64 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\services\ReviewService.js            | JavaScript         |         23 |          0 |          6 |         29 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\services\ValuesService.js            | JavaScript         |         16 |          0 |          4 |         20 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\utils\AccountValidator.js            | JavaScript         |         18 |          0 |          2 |         20 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\utils\BaseController.js              | JavaScript         |         13 |          0 |          2 |         15 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\utils\Errors.js                      | JavaScript         |         30 |          0 |          1 |         31 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\utils\Logger.js                      | JavaScript         |         39 |          2 |         10 |         51 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\src\utils\SocketHandler.js               | JavaScript         |         41 |         27 |          7 |         75 |
| c:\Users\markk\Documents\Dev\ReciPantry\ReciPantry\www\index.html                           | HTML               |         30 |          0 |          2 |         32 |
| c:\Users\markk\Documents\Dev\ReciPantry\launchsettings.conf                                 | Properties         |          5 |          0 |          2 |          7 |
| c:\Users\markk\Documents\Dev\ReciPantry\package-lock.json                                   | JSON               |         12 |          0 |          1 |         13 |
| c:\Users\markk\Documents\Dev\ReciPantry\package.json                                        | JSON               |         11 |          0 |          2 |         13 |
| Total                                                                                       |                    |     31,725 |        250 |        399 |     32,374 |
+---------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
